,,,
1,돼지국밥,9000,1
2,내장국밥,9000,1
3,순대국밥,9000,1
4,섞어국밥,9000,1
5,따로국밥,9500,1
6,수육백반,12000,1
7,맛보기순대,10000,1
8,수육 (소),28000,1
9,아메리카노,6000,2
10,카페라떼,6500,2
11,바닐라라떼,7000,2
12,풀문커피 (시그니처),8000,2
13,월넛모카,8000,2
14,치즈케이크,8500,2
15,슈크림빵,2800,3
16,학원전,1800,3
17,명란바게트,3800,3
18,왕슈,3000,3
19,애플파이,4500,3
20,뚜쇼꼬,2000,3
21,치즈케이크,35000,3
22,스시(10ps),25000,4
23,특선스시(12ps),35000,4
24,물회 막국수,22000,4
25,나가사키 우동,15000,4
26,왕새우튀김(4ps),16000,4
27,아메리카노,5000,5
28,신기라떼,7000,5
29,딸기라떼,7500,5
30,자몽에이드,7500,5
31,크로플,12000,5
32,이재모크러스트피자(L),26000,6
33,햄치즈크러스트피자(L),28000,6
34,불고기피자(L),28000,6
35,오븐치즈스파게티,8000,6
36,샐러드바,5000,6
37,까치복국 (지리/매운탕),18000,7
38,은복국 (지리/매운탕),13000,7
39,밀복국 (지리/매운탕),23000,7
40,복튀김,30000,7
41,복수육,60000,7
42,사라다빵,2500,8
43,팥빙수,5000,8
44,찹쌀떡,1500,8
45,단팥빵,1800,8
46,치즈만주,2000,8
47,브라운라떼,6500,9
48,필터커피,6000,9
49,바스크 치즈 케이크,7500,9
50,앙버터 토스트,7000,9
51,칠성통닭,20000,10
52,양념통닭,21000,10
53,닭도리탕,25000,10
54,닭똥집,12000,10
55,대구탕,12000,11
56,대구뽈찜(소),35000,11
57,내장추가,3000,11
58,공기밥,1000,11
59,밀면,8000,12
60,비빔밀면,8000,12
61,왕만두,5000,12
62,사리추가,2000,12
63,물밀면,7000,13
64,비빔밀면,7000,13
65,손만두,5000,13
66,돼지국밥,9000,14
67,섞어국밥,9000,14
68,따로국밥,9500,14
69,맛보기순대,8000,14
70,수육(중),30000,14
71,완당,8000,15
72,완당면,8000,15
73,유부초밥,7000,15
74,김초밥,7000,15
75,발국수(메밀소바),8000,15
76,대구탕(지리),13000,16
77,대구탕(매운탕),13000,16
78,알말이,10000,16
79,동래파전,22000,17
80,도토리묵,12000,17
81,골뱅이무침,20000,17
82,동동주,8000,17
83,클래식치즈버거,9800,18
84,해운대버거,11800,18
85,베이컨치즈버거,10800,18
86,프렌치프라이,4000,18
87,밀크쉐이크,6000,18
88,버크셔K로스카츠,15000,19
89,히레카츠,12000,19
90,특 로스카츠,16000,19
91,카츠산도,9000,19
92,카레,3000,19
93,돈코츠라멘,9000,20
94,매운 돈코츠라멘,9500,20
95,차슈추가,2000,20
96,교자,4000,20
97,생맥주,4000,20
98,코카모메 텐동,13000,21
99,에비 텐동,15000,21
100,아나고 텐동,18000,21
101,바질 토마토,3000,21
102,딴딴면,9000,22
103,마라빤,10000,22
104,유린기,22000,22
105,어향가지,18000,22
106,고기만두,7000,23
107,군만두,7000,23
108,새우만두,7000,23
109,콩국+과자,3500,23
110,월병,2500,23
111,탕수육 (소),20000,24
112,짬뽕,8000,24
113,간짜장,7000,24
114,볶음밥,7000,24
115,탄탄면,9000,25
116,우육면,10000,25
117,마파두부,15000,25
118,꿔바로우,20000,25
119,떡볶이,3500,26
120,순대,3500,26
121,튀김,3500,26
122,팥빙수,3000,26
123,떡볶이,4000,27
124,오징어튀김,4000,27
125,만두,4000,27
126,어묵,4000,27
127,떡볶이,4000,28
128,튀김세트,4000,28
129,순대,4000,28
130,떡볶이,3000,29
131,튀김 (5개),3000,29
132,순대,3000,29
133,어묵,2000,29
134,소고기 쌀국수,10000,30
135,분짜,13000,30
136,반미,8000,30
137,넴,6000,30
138,탄두리치킨,18000,31
139,치킨 마크니 커리,12000,31
140,갈릭 난,3000,31
141,라씨,4000,31
142,분짜,14000,32
143,반세오,16000,32
144,소고기 쌀국수,11000,32
145,텃만꿍,12000,32
146,스테이크 크림 파스타,17000,33
147,페퍼로니 피자,20000,33
148,쉬림프 로제 파스타,16000,33
149,라구 파스타,16000,34
150,비토 피자,22000,34
151,감베리 알리오 올리오,15000,34
152,채끝 스테이크,38000,34
153,해물 크림 파스타,18000,35
154,고르곤졸라 피자,21000,35
155,버섯 샐러드,15000,35
